value,valueLabel,valueDescription,ct,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q82955,politician,"person involved in politics, person who holds or seeks positions in government",371482,http://www.wikidata.org/entity/Q23,George Washington
http://www.wikidata.org/entity/Q937857,association football player,person who plays association football (soccer),215429,http://www.wikidata.org/entity/Q354,Piet Kraak
http://www.wikidata.org/entity/Q33999,actor,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio",172477,http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q36180,writer,person who uses written words to communicate ideas and to produce works of literature,154615,http://www.wikidata.org/entity/Q272,Paul Morand
http://www.wikidata.org/entity/Q1028181,painter,artist who practices painting,113754,http://www.wikidata.org/entity/Q296,Claude Monet
http://www.wikidata.org/entity/Q1650915,researcher,professional who engages in research,111122,http://www.wikidata.org/entity/Q926,Roald Amundsen
http://www.wikidata.org/entity/Q1930187,journalist,"person who collects, writes and distributes news and other information",97385,http://www.wikidata.org/entity/Q360,Julian Assange
http://www.wikidata.org/entity/Q1622272,university teacher,person teaching at a university,79683,http://www.wikidata.org/entity/Q80,Tim Berners-Lee
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience,67618,http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q36834,composer,"person who creates music, either by musical notation or oral tradition",59589,http://www.wikidata.org/entity/Q254,Wolfgang Amadeus Mozart
http://www.wikidata.org/entity/Q49757,poet,person who writes and publishes poetry,52880,http://www.wikidata.org/entity/Q377,Yanka Kupala
http://www.wikidata.org/entity/Q40348,lawyer,legal professional who helps clients and represents them in a court of law,52594,http://www.wikidata.org/entity/Q91,Abraham Lincoln
http://www.wikidata.org/entity/Q10800557,film actor,actor who appears in films or movies,44912,http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q2526255,film director,occupation of a person who directs a film,38094,http://www.wikidata.org/entity/Q392,Bob Dylan
http://www.wikidata.org/entity/Q201788,historian,person who studies and writes about the past,36189,http://www.wikidata.org/entity/Q946,Donald Tusk
http://www.wikidata.org/entity/Q28389,screenwriter,"writer who writes for TV, films, comics and games",34128,http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q42973,architect,"person trained to plan and design buildings, and oversee their construction",32397,http://www.wikidata.org/entity/Q301,El Greco
http://www.wikidata.org/entity/Q639669,musician,person who performs or composes music,30340,http://www.wikidata.org/entity/Q254,Wolfgang Amadeus Mozart
http://www.wikidata.org/entity/Q10871364,baseball player,person who plays the game of baseball,29875,http://www.wikidata.org/entity/Q1604,Tim Lincecum
http://www.wikidata.org/entity/Q11513337,athletics competitor,"sportsperson that competes in athletics (track and field, running, walking)",28578,http://www.wikidata.org/entity/Q1625,Sigfrid Edström
http://www.wikidata.org/entity/Q12299841,cricketer,individual who takes part in cricket matches,28419,http://www.wikidata.org/entity/Q9475,Harbhajan Singh
http://www.wikidata.org/entity/Q19204627,American football player,sportsperson who is active in American football,28204,http://www.wikidata.org/entity/Q4119,Adam Carolla
http://www.wikidata.org/entity/Q16533,judge,official who presides over court proceedings,27957,http://www.wikidata.org/entity/Q1245,Enrico de Nicola
http://www.wikidata.org/entity/Q39631,physician,professional who practices medicine,27744,http://www.wikidata.org/entity/Q440,Salvador Allende
http://www.wikidata.org/entity/Q47064,military personnel,member of the armed forces,27099,http://www.wikidata.org/entity/Q498,"Ulrich Frédéric Woldemar, Comte de Lowendal"
http://www.wikidata.org/entity/Q3665646,basketball player,sportsperson taking part in basketball competitions,26822,http://www.wikidata.org/entity/Q1685,Jason Richardson
http://www.wikidata.org/entity/Q193391,diplomat,person appointed by a state to conduct diplomacy with another state or international organization,26637,http://www.wikidata.org/entity/Q272,Paul Morand
http://www.wikidata.org/entity/Q11774891,ice hockey player,sportsperson taking part in ice hockey competitions,26118,http://www.wikidata.org/entity/Q3611,Ashton Rome
http://www.wikidata.org/entity/Q482980,author,creator of an original spoken or written work,26106,http://www.wikidata.org/entity/Q306,Sebastián Piñera
http://www.wikidata.org/entity/Q188094,economist,professional in the social science discipline of economics,25864,http://www.wikidata.org/entity/Q206,Stephen Harper
http://www.wikidata.org/entity/Q2259451,stage actor,actor who performs live before an in-person audience,24137,http://www.wikidata.org/entity/Q512,Vladimir Vysotsky
http://www.wikidata.org/entity/Q628099,association football manager,team manager in association football (soccer),23432,http://www.wikidata.org/entity/Q354,Piet Kraak
http://www.wikidata.org/entity/Q81096,engineer,professional practitioner of engineering,22510,http://www.wikidata.org/entity/Q675,André-Marie Ampère
http://www.wikidata.org/entity/Q1281618,sculptor,artist specializing in sculpture,22266,http://www.wikidata.org/entity/Q301,El Greco
http://www.wikidata.org/entity/Q189290,military officer,member of an armed force or uniformed service who holds a position of authority,21226,http://www.wikidata.org/entity/Q23,George Washington
http://www.wikidata.org/entity/Q42603,priest,person authorized to lead the sacred rituals of a religion,21143,http://www.wikidata.org/entity/Q989,John Paul II
http://www.wikidata.org/entity/Q2309784,sport cyclist,someone who competes in the sport of cycling,21056,http://www.wikidata.org/entity/Q2172,Lance Armstrong
http://www.wikidata.org/entity/Q43845,businessperson,person involving in activities for the purpose of generating revenue,20808,http://www.wikidata.org/entity/Q181,Jimmy Wales
http://www.wikidata.org/entity/Q6625963,novelist,author or writer of novels,20194,http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q10798782,television actor,actor who performs on television,20023,http://www.wikidata.org/entity/Q489,Bill Maher
http://www.wikidata.org/entity/Q333634,translator,person who translates text from one language to another,19647,http://www.wikidata.org/entity/Q377,Yanka Kupala
http://www.wikidata.org/entity/Q33231,photographer,person who takes photographs,19539,http://www.wikidata.org/entity/Q558,Hedi Slimane
http://www.wikidata.org/entity/Q483501,artist,"person who creates, practises and/or demonstrates any art",18557,http://www.wikidata.org/entity/Q301,El Greco
http://www.wikidata.org/entity/Q250867,Catholic priest,main form of minister in the Catholic Church,17866,http://www.wikidata.org/entity/Q989,John Paul II
http://www.wikidata.org/entity/Q4610556,model,"person employed to display, advertise and promote products, or to serve as a visual aid",16285,http://www.wikidata.org/entity/Q400,Jenna Jameson
http://www.wikidata.org/entity/Q753110,songwriter,person who writes the lyrics and melody for a music art piece,16262,http://www.wikidata.org/entity/Q633,Neil Young
http://www.wikidata.org/entity/Q37226,teacher,"person who helps others to acquire knowledge, competences or values",16199,http://www.wikidata.org/entity/Q937,Albert Einstein
http://www.wikidata.org/entity/Q486748,pianist,musician who plays the piano,15670,http://www.wikidata.org/entity/Q254,Wolfgang Amadeus Mozart
http://www.wikidata.org/entity/Q170790,mathematician,person with an extensive knowledge of mathematics,14700,http://www.wikidata.org/entity/Q307,Galileo Galilei
http://www.wikidata.org/entity/Q10873124,chess player,individual who takes part in chess tournaments,14563,http://www.wikidata.org/entity/Q5912,Marcel Duchamp
http://www.wikidata.org/entity/Q185351,jurist,"legal scholar or academic, a professional who studies, teaches, and develops law",14538,http://www.wikidata.org/entity/Q619,Nicolaus Copernicus
http://www.wikidata.org/entity/Q2374149,botanist,person who practices botany,14382,http://www.wikidata.org/entity/Q562,Pierre Poivre
http://www.wikidata.org/entity/Q158852,conductor,person who directs a musical group during a performance,14182,http://www.wikidata.org/entity/Q1151,Hector Berlioz
http://www.wikidata.org/entity/Q14089670,rugby union player,sportsperson who plays rugby union,13811,http://www.wikidata.org/entity/Q5809,Che Guevara
http://www.wikidata.org/entity/Q13414980,Australian rules footballer,sportsperson taking part in Australian-rules football competitions,13446,http://www.wikidata.org/entity/Q23375,John Curtin
http://www.wikidata.org/entity/Q1234713,theologian,person who studies theology,13266,http://www.wikidata.org/entity/Q935,Isaac Newton
http://www.wikidata.org/entity/Q4964182,philosopher,person with an extensive knowledge of philosophy,12970,http://www.wikidata.org/entity/Q185,Larry Sanger
http://www.wikidata.org/entity/Q3282637,film producer,"person who supervises the overall process, creative and financial, of making a film",12938,http://www.wikidata.org/entity/Q360,Julian Assange
http://www.wikidata.org/entity/Q3055126,entomologist,scientist specialising in entomology,12081,http://www.wikidata.org/entity/Q1035,Charles Darwin
http://www.wikidata.org/entity/Q15117302,volleyball player,sportsperson who plays volleyball,11726,http://www.wikidata.org/entity/Q4578,Laura Ludwig
http://www.wikidata.org/entity/Q947873,television presenter,person who introduces or hosts television programs,11399,http://www.wikidata.org/entity/Q489,Bill Maher
http://www.wikidata.org/entity/Q10843402,swimmer,sportsperson taking part in swimming competitions,11308,http://www.wikidata.org/entity/Q7290,Annette Salmeen
http://www.wikidata.org/entity/Q11338576,boxer,sportsperson taking part in boxing competitions,11271,http://www.wikidata.org/entity/Q3794,Laurent Dauthuille
http://www.wikidata.org/entity/Q131524,entrepreneur,"individual who organizes and operates a business, taking on financial risk to do so",11239,http://www.wikidata.org/entity/Q181,Jimmy Wales
http://www.wikidata.org/entity/Q13141064,badminton player,sportsperson specialized in badminton,11026,http://www.wikidata.org/entity/Q15223,Stanislav Pukhov
http://www.wikidata.org/entity/Q169470,physicist,scientist who does research in physics,11016,http://www.wikidata.org/entity/Q80,Tim Berners-Lee
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings",10639,http://www.wikidata.org/entity/Q392,Bob Dylan
http://www.wikidata.org/entity/Q183945,record producer,individual who oversees and manages the recording of an artist's music,10605,http://www.wikidata.org/entity/Q392,Bob Dylan
http://www.wikidata.org/entity/Q214917,playwright,person who writes plays,10267,http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q593644,chemist,scientist trained in the study of chemistry,10201,http://www.wikidata.org/entity/Q529,Louis Pasteur
http://www.wikidata.org/entity/Q13382576,rower,sportsperson taking part in rowing competitions,9852,http://www.wikidata.org/entity/Q15852,Aleksandr Berkutov
http://www.wikidata.org/entity/Q14467526,linguist,expert in human languages,9080,http://www.wikidata.org/entity/Q892,J. R. R. Tolkien
http://www.wikidata.org/entity/Q2865819,opera singer,singer who sings in operas,8927,http://www.wikidata.org/entity/Q16457,Claudia Barainsky
http://www.wikidata.org/entity/Q2405480,voice actor,"person who provides voice-overs for a character in films, animation, video games or in other media",8712,http://www.wikidata.org/entity/Q873,Meryl Streep
http://www.wikidata.org/entity/Q855091,guitarist,person who plays the guitar,8685,http://www.wikidata.org/entity/Q303,Elvis Presley
http://www.wikidata.org/entity/Q10833314,tennis player,sportsperson who plays tennis,8311,http://www.wikidata.org/entity/Q1426,Roger Federer
http://www.wikidata.org/entity/Q15981151,jazz musician,musician who plays jazz,8230,http://www.wikidata.org/entity/Q1698,Serge Gainsbourg
http://www.wikidata.org/entity/Q350979,zoologist,someone who studies or practices zoology,8044,http://www.wikidata.org/entity/Q1043,Carl Linnaeus
http://www.wikidata.org/entity/Q644687,illustrator,narrative artist who makes images for printed and electronic products,7907,http://www.wikidata.org/entity/Q535,Victor Hugo
