value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q49085,African American,racial or ethnic group in the United States with African ancestry,14313,"African American, African-American, Afro-Americans, American Negroes, Black Americans, black, afro-diaspora, Caribbean american, negro, negroes, colored man, colored woman, colored person, colored people",http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q79797,Armenians,ethnic group native to the Armenian Highland,8860,Armenian people,http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q539051,Greeks,people of southeastern Europe,4542,Greek people,http://www.wikidata.org/entity/Q41,Greece
http://www.wikidata.org/entity/Q179248,Albanians,ethnic group,4068,Albanian people,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q44806,Ukrainians,East Slavic ethnic group native to Ukraine,2524,,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q161652,Japanese people,ethnic group native to Japan,2405,Japanese,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q127885,Serbs,Ethnic group,1989,,http://www.wikidata.org/entity/Q814,Coco Austin
http://www.wikidata.org/entity/Q170217,Czechs,European nation and an ethnic group native to the Czech republic,1648,,http://www.wikidata.org/entity/Q2754,Jaroslav Hašek
http://www.wikidata.org/entity/Q7325,Jewish people,"ancient nation, race, and ethnoreligious group from the Levant",1298,"Jew, Jewish people, Jewish person, Jews, Jewish",http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q190168,Yoruba people,ethnic group of West Africa,943,Yoruba,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q145665,Manchu,members of an indigenous people of Manchuria,767,"Manchu people, Manchus",http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q932244,Sinhalese people,ethnic group,695,,http://www.wikidata.org/entity/Q57338,Mahinda Rajapaksa
http://www.wikidata.org/entity/Q2325516,Armenian American,citizens or residents of the United States who have total or partial Armenian ancestry,560,Armenian-American,http://www.wikidata.org/entity/Q4153,George Bournoutian
http://www.wikidata.org/entity/Q187985,Tibetan people,ethnic group,521,"Tibet peoplesまたはTibets, Tibetan peopleまたはTibetans",http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q42884,Germans,citizens or native-born people of Germany; or people of descent to the ethnic and ethnolinguistic group associated with the German language,443,"Boches, Deutsch people, people of Germany, German people",http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q121842,French people,nation and ethnic group who are identified with the country of France,435,"French, the French",http://www.wikidata.org/entity/Q228,Andorra
http://www.wikidata.org/entity/Q1026,Poles,people from Poland,427,"Polacy, Polish people",http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q49542,Russians,"East Slavic ethnic group, regardless of country of citizenship",367,"Russian (ethnicity), Russian people, Russians (ethnic group), Russians (ethnicity), Russkije, Russkiye",http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q42406,English people,nation and ethnic group native to England,331,"English, the English",http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q35323,Arab,Semitic people,292,"Arab people, Arabs",http://www.wikidata.org/entity/Q796,Iraq
http://www.wikidata.org/entity/Q115026,Swedish American,American of Swedish descent,291,,http://www.wikidata.org/entity/Q1618,Charles Lindbergh
http://www.wikidata.org/entity/Q678551,American Jews,ethnic group,256,"Americans of Jewish descent, Jewish Americans, Jewish-Americans, Jews in the United States",http://www.wikidata.org/entity/Q2001,Stanley Kubrick
http://www.wikidata.org/entity/Q50001,Italians,nation and ethnic group native to Italy,235,Italiani,http://www.wikidata.org/entity/Q307,Galileo Galilei
http://www.wikidata.org/entity/Q133255,Bulgarians,people from Bulgaria,203,people of Bulgaria,http://www.wikidata.org/entity/Q40722,Dilma Rousseff
http://www.wikidata.org/entity/Q1211290,Norsemen,historical ethnolinguistic group of people originating in Scandinavia,172,Norseman,http://www.wikidata.org/entity/Q29017,Eric Haakonsson
http://www.wikidata.org/entity/Q42740,Han Chinese,ethnic group,162,"Han, Han people",http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q244504,Catalan people,ethnic group,153,Catalans,http://www.wikidata.org/entity/Q72541,Eduardo Mendoza Garriga
http://www.wikidata.org/entity/Q133032,Hungarians,ethnic group,143,"Magyars, Húngaros, Magiares",http://www.wikidata.org/entity/Q6733,Edward Teller
http://www.wikidata.org/entity/Q485150,Romanians,ethnic group,137,,http://www.wikidata.org/entity/Q35458,Allysin Chaynes
http://www.wikidata.org/entity/Q483569,Belarusians,ethnic group,130,,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q402913,Bengali people,ethnic group native to India and Bangladesh,127,,http://www.wikidata.org/entity/Q902,Bangladesh
http://www.wikidata.org/entity/Q49078,White American,people of the United States who are considered or consider themselves White,127,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,ethnic group,113,Ashkem,http://www.wikidata.org/entity/Q905,Franz Kafka
http://www.wikidata.org/entity/Q41975,Mongols,ethnic group of central Asia,110,,http://www.wikidata.org/entity/Q720,Genghis Khan
http://www.wikidata.org/entity/Q2436423,Macedonians,ethnic group associated with the Republic of Macedonia,108,,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q167420,Croats,Ethnic group,105,,http://www.wikidata.org/entity/Q9161,Josip Broz Tito
http://www.wikidata.org/entity/Q1075293,Irish American,ethnic group,103,,http://www.wikidata.org/entity/Q5928,Jimi Hendrix
http://www.wikidata.org/entity/Q181634,Scottish people,ethnic inhabitants of Scotland,103,"Scottish, Scots",http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q18973,Georgian people,Caucasian ethnic group that are indigenous to Georgia,102,Georgians,http://www.wikidata.org/entity/Q855,Joseph Stalin
http://www.wikidata.org/entity/Q140472,Silesians,inhabitants of the Silesia region,101,,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q974693,Italian American,United States citizens of Italian ancestry,100,,http://www.wikidata.org/entity/Q400,Jenna Jameson
http://www.wikidata.org/entity/Q129962,Zulu people,ethnic group,96,Zulu manes,http://www.wikidata.org/entity/Q57282,Jacob Zuma
http://www.wikidata.org/entity/Q484464,Koreans,people based in the Korean Peninsula and Manchuria,93,"Korean, Korean people",http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q117458,Crimean Tatars,people,88,,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q7994501,White British,ethnicity classification used in the 2011 United Kingdom Census,88,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q170826,Irish people,ethnic group,82,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q1365830,Romani people in Spain,ethnic group,80,,http://www.wikidata.org/entity/Q242023,Carmen Amaya Amaya
http://www.wikidata.org/entity/Q160894,Spaniards,people native to any part of Spain or that hold Spanish citizenship,80,Spanish people,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q4887679,Bengali Hindus,,80,,http://www.wikidata.org/entity/Q288769,Peary Chand Mitra
http://www.wikidata.org/entity/Q104238,Angles,"North Sea Germanic people, from the eponymous area",75,,http://www.wikidata.org/entity/Q132175,Osred II
http://www.wikidata.org/entity/Q165192,Swedes,nation and ethnic group native to Sweden,73,,http://www.wikidata.org/entity/Q1043,Carl Linnaeus
http://www.wikidata.org/entity/Q171336,Slovaks,people that live in Slovakia and speak the Slovak language,70,Slovak people,http://www.wikidata.org/entity/Q150543,Alexander Dubček
http://www.wikidata.org/entity/Q1344183,English American,ethnic group,69,,http://www.wikidata.org/entity/Q4538,Jonathan Winters
http://www.wikidata.org/entity/Q141817,German American,ethnic group,69,,http://www.wikidata.org/entity/Q4960,Jason Lee
http://www.wikidata.org/entity/Q846570,Americans,"citizens, or natives, of the United States of America",68,"American people, Statesian, U.S. Americans, U.S.-American, United-Statesian, Usonians",http://www.wikidata.org/entity/Q7245,Mark Twain
http://www.wikidata.org/entity/Q1983634,Odia,ethnic group,67,"Odia  people, Oriya people",http://www.wikidata.org/entity/Q1896096,Janaki Ballabh Patnaik
http://www.wikidata.org/entity/Q3267254,Afro-Uruguayan,,63,,http://www.wikidata.org/entity/Q214898,Álvaro Pereira
http://www.wikidata.org/entity/Q1156766,Japanese American,ethnic group,60,,http://www.wikidata.org/entity/Q19201,Mike Shinoda
http://www.wikidata.org/entity/Q12223,Kurdish people,Ethnic group in the Middle East,60,Kurds,http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q101985,Saxons,confederation of Germanic tribes on the North German Plain,59,,http://www.wikidata.org/entity/Q235250,Æthelflæd
http://www.wikidata.org/entity/Q2556103,Pashtun people,Iranic ethnic group belonging to Afghanistan and Pakistan,59,Pashtuns,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q484206,Persian people,ethnic group,58,"Persian, Persians",http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q237534,Austrians,nation and an ethnic group of people living in Austria,55,,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q188353,Welsh people,nation and ethnic group native to Wales,54,,http://www.wikidata.org/entity/Q45909,John Cale
http://www.wikidata.org/entity/Q200569,Dutch people,ethnic group,53,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q4065203,English Australian,ethnic group,53,,http://www.wikidata.org/entity/Q328286,George Waterhouse
http://www.wikidata.org/entity/Q275453,Bai people,ethnic group in China,50,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q862086,Indian people,ethnic group,50,"Indian, Indian citizens",http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q36747,Native Americans,pre-Columbian inhabitants of North and South America and their descendants,50,"Native American, American Indian, Amerindians, Amerinds, indigenous peoples of the Americas",http://www.wikidata.org/entity/Q55800,Oprah Winfrey
http://www.wikidata.org/entity/Q84072,Turkish people,ethnic group speaking Turkish and primarily living in Republic of Turkey,48,Turks,http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q126756,Basque people,ethnic group,47,,http://www.wikidata.org/entity/Q153246,Francisco Javier López Peña
http://www.wikidata.org/entity/Q854323,Punjabi people,ethnic group,46,,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q485732,Quraysh,Arabic tribe,45,"Quraish, Qureshi, Coreish, Kuraish, Quraysh tribe, Qurayshi, Quresh, Qurish, Koreish",http://www.wikidata.org/entity/Q4987,Banu Hashim
http://www.wikidata.org/entity/Q1173004,Chinese people,Wikimedia disambiguation page,44,the Chinese,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q170355,indigenous Australians,original inhabitants of the Australian continent,44,"Aborigine, Aboriginal Australians, Australian Aboriginals",http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q588574,Tujia people,ethnic group,44,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q241696,Somali people,An ethnic group from the Horn of Africa,42,"Somali, Somalis, Soomaali",http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q6672460,Noldor,Elvish race from J. R. R. Tolkien's legendarium,42,,http://www.wikidata.org/entity/Q204274,Galadriel
http://www.wikidata.org/entity/Q3476361,Scottish American,ethnic group,41,,http://www.wikidata.org/entity/Q4960,Jason Lee
http://www.wikidata.org/entity/Q29705197,Q29705197,,40,,http://www.wikidata.org/entity/Q45201,Rainer Woelki
http://www.wikidata.org/entity/Q45315,Berbers,ethnic group indigenous to North Africa,40,,http://www.wikidata.org/entity/Q8018,Augustine of Hippo
http://www.wikidata.org/entity/Q1815623,Sri Lankan Tamil people,,39,,http://www.wikidata.org/entity/Q485755,Ananda Krishnan
http://www.wikidata.org/entity/Q15863,Slovenes,South Slavic ethnic group living in historical Slovene lands,39,,http://www.wikidata.org/entity/Q1031,France Prešeren
http://www.wikidata.org/entity/Q1798461,Rohirrim,Human race from J. R. R. Tolkien's legendarium,38,,http://www.wikidata.org/entity/Q216605,Éomer
http://www.wikidata.org/entity/Q8060,Romani people,ethnic group living mostly in Europe and the Americas,38,"Gypsies, Roma people, Gipsies, Rrom, Rroma, Tzigan",http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q1035516,Cumans,Turkic nomadic people comprising the western branch of the Cuman-Kipchak confederation,37,"Cuman people, Polovtsi",http://www.wikidata.org/entity/Q265467,Elizabeth the Cuman
http://www.wikidata.org/entity/Q4327996,Númenóreans,,36,Numenoreans,http://www.wikidata.org/entity/Q588135,Ar-Adûnakhôr
http://www.wikidata.org/entity/Q533312,Koreans in Japan,ethnic group,35,,http://www.wikidata.org/entity/Q181434,Harumi Miyako
http://www.wikidata.org/entity/Q842438,British people,"citizens of the United Kingdom of Great Britain and Northern Ireland, British Overseas Territories, Crown Dependencies, and their descendants",35,"British, Brits, Britishers, Britons",http://www.wikidata.org/entity/Q882,Charlie Chaplin
http://www.wikidata.org/entity/Q403656,Baganda,ethnic group,33,,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q49297,Native Americans in the United States,North American indigenous peoples within the boundaries of the present-day United States (including Alaska and Hawaii),33,"Native Americans, Indians, American Indians, Native Americans in the U.S., Native Americans in the US",http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q242485,Flemings,"Germanic ethnic group, originating in Northern France and Belgium, who speak Dutch",32,Flemish people,http://www.wikidata.org/entity/Q49747,Maurice Maeterlinck
http://www.wikidata.org/entity/Q43103,European American,US citizens of European descent,31,Euro-Americans,http://www.wikidata.org/entity/Q102495,Erich Kahler
http://www.wikidata.org/entity/Q1146100,Chinese American,ethnic group,30,,http://www.wikidata.org/entity/Q129410,Brandon Soo Hoo
http://www.wikidata.org/entity/Q173302,Estonians,Finnic people inhabiting primarily the country of Estonia,30,"Estonian people, people of Estonia",http://www.wikidata.org/entity/Q237056,Lydia Koidula
